family,condition,episode,seed,difficulty,status,success,steps,retrieval_model,retrieval_selected_lesson_fraction,retrieval_selected_filler_fraction,retrieval_selected_query_fraction
InsertPeg,k1,3,630300,hard,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k1,4,630400,easy,success,1,256,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k1,5,630500,easy,fail,0,112,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k1,6,630600,medium,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k1,7,630700,hard,fail,0,95,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k1,8,630801,easy,fail,0,109,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k1,9,630901,easy,fail,0,215,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k1,10,631000,medium,fail,0,358,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k1,11,631100,hard,fail,0,106,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k1,12,631200,easy,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k1,13,631300,easy,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k1,14,631400,medium,fail,0,105,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k1,15,631501,hard,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k1,16,631600,easy,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k1,17,631701,easy,fail,0,101,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k1,18,631800,medium,fail,0,106,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k1,19,631900,hard,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k1,20,632000,easy,fail,0,1285,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k1,21,632101,easy,fail,0,88,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k1,22,632200,medium,success,1,195,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
